artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Steppenwolf,The Second,Magic Carpet Ride,4c4jJJoaiY21t2TyRZgdWS,"acid rock,album rock,blues rock,classic canadian rock,classic rock,country rock,folk rock,hard rock,mellow gold,psychedelic rock,rock,roots rock",,0.64,0.651,4,-14.981,0,0.0517,0.142,0.28,0.0341,0.801,111.676,271573,4
Blue Öyster Cult,Box in My Head,Box in My Head,5ljIbdLfyY6cuawKnwRaOC,"album rock,art rock,blues rock,classic rock,hard rock,metal,rock,soft rock",,0.555,0.949,2,-4.755,1,0.0527,0.00446,1.83e-05,0.0701,0.711,140.113,225181,4
Blue Öyster Cult,That Was Me,That Was Me,4XL5BDScfDdj4QlkStiLzn,"album rock,art rock,blues rock,classic rock,hard rock,metal,rock,soft rock",,0.587,0.988,4,-2.969,0,0.0533,0.00229,0.264,0.338,0.675,123.99,198638,4
The Rolling Stones,Beggars Banquet (50th Anniversary Edition),Sympathy For The Devil - 50th Anniversary Edition,1Ud6moTC0KyXMq1Oxfien0,"album rock,british invasion,classic rock,rock",,0.702,0.668,9,-9.237,1,0.214,0.518,0.0,0.0588,0.561,116.063,378147,4
Alkaline Trio,Good Mourning,We've Had Enough,5I1ZxztCi4MdwQYFQgYJel,"chicago punk,emo,pop punk,punk,screamo,skate punk",,0.341,0.946,9,-2.879,1,0.0729,0.00538,0.0,0.293,0.696,176.771,171200,4
NIVIRO,Life In Reverse,Life In Reverse,0yPFuWtbg4rQfz7aJJe4jF,gaming edm,,0.474,0.983,0,-3.918,0,0.0795,0.112,0.000423,0.409,0.256,141.975,171972,4
The King's Singers,Gold,And So It Goes (Arr. Bob Chilcott),0vbku2VnIsrhFIfyUvekaK,"a cappella,british choir,cambridge choir,choral,polyphony,vocal ensemble",,0.162,0.0479,0,-24.195,1,0.0394,0.97,0.000178,0.0951,0.126,81.717,225613,1
The King's Singers,Best Of The King's Singers,Fifty Ways to Leave Your Lover,5bjpdWzpl0bcfIm9UWV6WH,"a cappella,british choir,cambridge choir,choral,polyphony,vocal ensemble",,0.771,0.158,7,-20.335,0,0.187,0.821,0.0,0.285,0.466,104.142,205360,4
Warren Zevon,The Wind,Keep Me in Your Heart,6eceqMrRFKCnq7ksH2L7Wp,"classic rock,country rock,folk,folk rock,heartland rock,mellow gold,piano rock,rock,roots rock,singer-songwriter,soft rock,traditional folk",,0.427,0.393,7,-9.142,1,0.0418,0.832,1.54e-06,0.0932,0.244,177.429,208027,4
an Unkindness,4 Songs,Words Cannot Express,0vemyGSRbhyEDBAYLFSUFu,,,0.735,0.275,2,-9.82,1,0.0331,0.972,0.0096,0.262,0.624,120.025,147840,4
an Unkindness,4 Songs,Foundation,5INpaT8AM728VaZLABbJKK,,,0.506,0.924,4,-5.543,0,0.0327,0.52,0.887,0.115,0.516,159.973,246013,4
an Unkindness,4 Songs,A Death,5WzrqpZjANkJuloNhlsnvA,,,0.601,0.828,10,-5.376,0,0.0397,0.443,0.00139,0.132,0.467,157.644,322387,3
Gold Motel,Gold Motel,Brand New Kind Of Blue,50ZSluAQOsP2EdP0pfJiZI,"chicago indie,indie fuzzpop",,0.567,0.767,1,-5.462,1,0.0342,9.34e-05,0.000169,0.349,0.757,157.497,184187,4
an Unkindness,4 Songs,Fragments,7kamnVyy3GTke8DIylCxPQ,,,0.231,0.67,0,-6.667,0,0.0292,0.484,0.288,0.128,0.16,175.003,377587,4
Free,Fire And Water,All Right Now,2Wf4IsWzhBgVR9uUDuktFB,"album rock,art rock,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,psychedelic rock,rock,roots rock",,0.785,0.479,2,-11.321,1,0.1,0.00604,2.52e-06,0.122,0.784,119.937,338427,4
The Turtles,The Turtles Present The Battle of the Bands,Elenore,4DWFSrNnZXow1aB96gByho,"brill building pop,bubblegum pop,classic rock,folk rock,psychedelic rock",,0.63,0.625,4,-8.407,1,0.0375,0.6,1.52e-05,0.24,0.887,122.504,151307,4
Cory Wong,Bluebird,Bluebird,4wpZxbpHGfeJHfa33efJO9,"instrumental funk,modern funk",,0.688,0.85,5,-6.347,0,0.0431,0.351,0.69,0.506,0.96,132.008,205561,4
Neuromonakh Feofan,Акустика,Ураган (Акустическая Версия),2aYndklgXrSCdMEudUWONr,"hard bass,russian dnb,russian rock",,0.582,0.88,9,-6.835,0,0.0491,0.396,0.00168,0.217,0.746,175.067,190144,4
Thomas Tallis,If Ye Love Me,If Ye Love Me,5VOkdgZxnNNCv73XnENYLS,"anglican liturgy,classical,early music,english renaissance,renaissance",,0.172,0.134,5,-17.349,1,0.0348,0.988,0.000257,0.371,0.0824,126.549,161332,5
Alkaline Trio,Agony & Irony,Calling All Skeletons,4uicyqoy9VwvWzxu5nbyDc,"chicago punk,emo,pop punk,punk,screamo,skate punk",,0.575,0.944,7,-3.377,1,0.0784,0.00343,1.62e-06,0.318,0.531,130.009,198787,4
Alkaline Trio,Crimson,Mercy Me,2YrB3vM3H7TcXZ0rAq4X8Y,"chicago punk,emo,pop punk,punk,screamo,skate punk",,0.472,0.88,9,-5.354,1,0.0495,0.0207,0.0,0.354,0.805,162.171,169498,4
Skeeter Davis,The Essential Skeeter Davis,The End of the World,6qEQuACZCNWf94T1WF4tLB,"brill building pop,nashville sound",,0.232,0.216,10,-10.674,1,0.0314,0.936,4.93e-06,0.246,0.432,94.268,157573,3
Grateful Dead,Go to Heaven,Alabama Getaway - 2013 Remaster,5WVF1Ftv5oxspRac9km99R,"classic rock,cosmic american,country rock,double drumming,folk rock,jam band,psychedelic rock,rock,roots rock",,0.634,0.809,4,-10.025,0,0.0335,0.163,0.00199,0.309,0.927,77.256,216569,4
Foreigner,Foreigner (Expanded),Cold as Ice,7vidktgNZFQylTgH1GEnMs,"album rock,classic rock,hard rock,mellow gold,rock,soft rock",,0.516,0.486,3,-11.81,0,0.0272,0.0987,1.48e-06,0.143,0.471,132.542,200573,4
Panicland,Rome Falls,Rome Falls,2wonJYr2KMF6dCTSrKE4jr,manitoba indie,,0.202,0.542,1,-8.865,1,0.0416,0.0712,0.0,0.425,0.364,148.814,195250,4
"Peter, Paul and Mary","Peter, Paul And Mary",500 Miles,6oMZhY0f1ReI6AJDDYfuSb,"american folk revival,brill building pop,bubblegum pop,folk,folk rock,mellow gold,soft rock,traditional folk",,0.436,0.0695,7,-19.735,1,0.0298,0.858,0.0,0.107,0.255,97.128,162933,4
Hopex,Roadrunner,Roadrunner,19GxGursaWsTNIRrJCyehB,"bass trap,traprun,turkish trap",,0.502,0.648,6,-7.838,0,0.0965,0.0101,0.764,0.0862,0.133,155.135,170371,4
Billy Joel,The Stranger (Legacy Edition),Vienna,4U45aEWtQhrm8A5mxPaFZ7,"album rock,classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",,0.532,0.495,10,-6.662,1,0.0343,0.659,0.0,0.0754,0.308,124.936,214240,4
Jonathan Young,VILLAINS,Bells of Notre Dame,3gdkpaNko3WvVedIaAQkOe,otacore,,0.216,0.95,9,-3.221,0,0.137,0.00493,0.0284,0.201,0.255,138.855,311990,4
Jonathan Young,VILLAINS,Phantom of the Opera,6HtqLQjc354EcSV7IJz6yL,otacore,,0.458,0.993,1,-3.378,0,0.0633,0.000497,0.00434,0.225,0.466,114.057,237895,3
Jonathan Young,VILLAINS,The Point of No Return,5cK5GRD8h7SkT30GKI03Qt,otacore,,0.453,0.897,10,-4.02,1,0.0487,0.00234,0.000305,0.166,0.38,107.091,182620,4
Jonathan Young,I Didn't Write Any of This (Vol. 5),Every Time We Touch,2LMTCtztETyNWy2YKD9GP9,otacore,,0.465,0.954,5,-6.837,1,0.0611,0.000164,6.73e-05,0.155,0.513,142.001,196690,4
Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Wonderwall - Remastered,5wj4E6IsrVtn8IBJQOd0Cl,"beatlesque,britpop,madchester,modern rock,permanent wave,rock",,0.372,0.865,2,-4.918,1,0.0381,0.000453,0.0,0.234,0.478,174.53,258733,4
