artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Frank Ocean,Cayendo (Side A - Acoustic),Cayendo (Side A - Acoustic),72794Eag03xdy7TO0KNuid,0.35,0.12,3,-11.104,0,0.0393,0.000289,0.103,0.121,68.995,202200,4
Sivu,Sweet Sweet Silent (Deluxe Version),Trickle,7IymjBjEmFGu3koYP7hVML,0.47,0.125,7,-18.941,0,0.0431,0.00137,0.145,0.117,71.328,250027,4
Riley Baron,Golden,Golden,7jnarlfZrFDOFEWeLXtxx9,0.285,0.119,4,-9.565,0,0.0319,0.00952,0.0855,0.0639,79.724,175059,4
SYML,Take Me Apart,Take Me Apart - Piano Solo,3twknNqDFoDVyr8QWUEP9P,0.632,0.0912,7,-23.805,0,0.0364,0.923,0.107,0.139,99.995,237141,3
Meyru,Good to See You,She,63o0CBXZ6LAnJoqz26oRj9,0.569,0.28,11,-9.908,0,0.0348,0.000764,0.34,0.0408,118.011,334608,4
RY X,Unfurl,Mallorca,5YfsKjgsJU1Pe6iRAmZfnq,0.527,0.2,9,-16.347,0,0.0352,0.00562,0.0994,0.151,155.855,184227,4
Roman Lewis,Mindless Town,Mindless Town,2JXQGMpCTHbXJrB9f4jsDh,0.35,0.192,2,-8.782,1,0.0324,0.00577,0.103,0.14,75.874,316492,4
Lauren Preuss,Carried Away,Carried Away,3cYu4mmxV188GndMGIEMq1,0.494,0.138,7,-22.142,1,0.0405,0.05,0.0841,0.178,81.37,199505,4
Mitski,Be the Cowboy,Two Slow Dancers,18Zr5WWu7X9LVool3pJRum,0.225,0.106,0,-13.166,1,0.0328,0.000767,0.108,0.0535,81.392,239304,4
Jealous of the Birds,Parma Violets,Tonight I Feel Like Kafka,6ojZsSfUuRUC4VxtWLUAdi,0.708,0.298,10,-13.671,0,0.0318,7.05e-06,0.17,0.351,116.048,189107,4
Dr. Dog,Critical Equation,Night,2FFAzUR4gFg2cK4IGfPADb,0.437,0.383,11,-10.408,1,0.0261,0.00188,0.138,0.132,112.012,362819,4
Nick Ward,Crush,Crush,0JxnvaBZqB2O6wjMbK66xH,0.782,0.293,4,-16.073,1,0.0377,0.712,0.109,0.183,120.031,214000,4
Sydwaves,Orange Ocean,Orange Ocean,6zFpffDjWcq6naSPMQ0ZsT,0.689,0.203,9,-17.924,0,0.0476,0.861,0.119,0.634,89.915,61333,4
Angelo De Augustine,Tomb,Tomb,4IPCF4vkbVii2PFqUXQJ8D,0.644,0.234,10,-14.938,1,0.0315,0.0195,0.103,0.643,85.966,258003,4
Ewan J Phillips,I Wish I Was the Moon,I Wish I Was the Moon,4YdMffAeaoLvQ3x7Aoqgr3,0.413,0.315,1,-11.801,0,0.0346,0.0606,0.0953,0.0809,99.384,218231,3
Lonas,Quiver,Quiver,0yPm9Wg6qcTwLZIXweNGpA,0.454,0.314,4,-11.278,1,0.0292,0.00166,0.111,0.203,142.951,251872,4
Edwin Raphael,Will You Think of Me Later?,Isle of Strawberries,7zfTF24acTKL42XSfzGETi,0.626,0.25,1,-8.006,0,0.0308,6.62e-05,0.12,0.308,134.971,216370,4
Ben Howard,Every Kingdom,Promise,4qyfir5Yr7nfo05g6cyFMT,0.367,0.189,2,-15.736,1,0.0384,0.428,0.364,0.177,156.643,384080,4
Massimo Natali [IT],Hologram,Hologram,2Y76JwsclhGdtZ8fMuWg2r,0.19,0.0897,9,-29.799,0,0.0523,0.792,0.113,0.16,182.806,103169,4
Shua,You Can Only Go in Pieces,You Can Only Go in Pieces,4GOlix5rBWcHrndmUObqi1,0.412,0.365,7,-10.818,1,0.0458,2.51e-06,0.459,0.171,108.649,226527,3
Loving,If I Am Only My Thoughts,Only She Knows,2AXd4r3Y00PjjNxceN3mZm,0.526,0.437,2,-8.084,0,0.0248,0.839,0.111,0.455,82.106,178368,4
Dua Saleh,umbrellar,umbrellar,00PXRPuZFlM5dv1FeJa69J,0.293,0.85,1,-6.05,1,0.066,0.0304,0.234,0.367,129.634,155763,4
SYML,Wildfire,Wildfire - Piano and Violin Version,4XqHxJ78r606T7PnH6WcYO,0.322,0.254,8,-9.956,0,0.0453,0.726,0.104,0.0939,128.695,235429,4
Gloria Laing,Why Can't I Have You,Why Can't I Have You,2FpzO4dqbCUPtZUQDjcLL3,0.827,0.195,7,-17.651,1,0.0638,0.141,0.0987,0.229,137.966,285209,4
RY X,Unfurl,Hounds,1ifY6niN0PWGaNqydwsAsT,0.483,0.0906,8,-18.659,0,0.0346,0.00105,0.096,0.12,110.613,239640,4
Massimo Natali [IT],Nobody's Home,Metronome,5uGY5VV9lZonCaRKm1wwmO,0.396,0.00408,6,-34.489,0,0.0542,0.962,0.109,0.108,65.174,178867,3
Eloise,This Thing Called Living,Left Side,6QUVcbxAJTVDQeDrchWzZx,0.715,0.239,0,-13.41,1,0.0826,1.46e-06,0.186,0.379,114.91,144963,4
Miya Folick,Premonitions,Thingamajig,5jQ5iwHkqyk6HgxLOFdJo1,0.315,0.224,0,-11.94,1,0.0406,0.000377,0.109,0.0727,206.727,252067,4
Mustafa,Stay Alive,Stay Alive,1COWb4m8g8jY7fi3wXzo5b,0.557,0.18,5,-15.417,1,0.0356,2.32e-05,0.498,0.456,85.963,181373,4
Juan Solorzano,Turn Blue,Turn Blue,2wSELeZvna2uRakHhud5q2,0.554,0.624,5,-10.301,1,0.0294,0.89,0.114,0.439,106.102,158976,4
Brandon,Weep,Weep,3N5Ez4Xd5SIRBUh3eZ4C7s,0.698,0.116,2,-12.287,0,0.0365,8.54e-05,0.0998,0.254,124.1,295750,4
Isaac Dunbar,isaac's insects,scorton's creek,7fX0Vp9q2mtibJF0OkXq9w,0.349,0.373,4,-10.979,0,0.0442,2.67e-06,0.0811,0.406,83.959,148000,4
Mitski,Bury Me At Makeout Creek,Last Words of a Shooting Star,0zCm4JTVBuIWSSL8rMUChT,0.393,0.167,2,-19.024,1,0.0361,0.00097,0.11,0.0961,129.955,164227,3
Jeremy Zucker,brent,scared,6r2JV75tE0vNgNCv4HKsBC,0.583,0.075,5,-15.843,1,0.0726,1.4e-06,0.111,0.347,108.418,207520,4
Dreams We've Had,Everything And You,Perfectly Out Of Place,5jtbhF7zGZR4YRMxhLV4V8,0.437,0.419,11,-8.003,1,0.0311,0.142,0.0767,0.118,110.065,293455,4
Yellow House,A Carnival of Fears,Love in the Time of Socialism,0JuJ0M9ZaKDwXms3rUh1Hk,0.244,0.259,10,-9.591,1,0.035,0.0,0.158,0.19,76.973,251185,4
Flipturn,August (Acoustic),August (Acoustic),2JXiyD1zucGdFmnTeYb5Ry,0.519,0.264,6,-12.782,1,0.0315,0.154,0.113,0.0812,79.819,302000,4
Sudan Archives,Iceland Moss - A COLORS SHOW,Iceland Moss - A COLORS SHOW,126Dh4bH1Dj7gc8B0Kf93A,0.64,0.437,4,-9.796,0,0.0331,0.0,0.0796,0.15,80.007,211875,4
Everything Is Recorded,FRIDAY FOREVER,10:51 PM / THE NIGHT,3JzbpaZYceToU6x1trOEM4,0.6,0.689,0,-7.468,1,0.0693,0.0058,0.562,0.724,89.979,202760,4
