artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Simon & Garfunkel,"Parsley, Sage, Rosemary And Thyme",Scarborough Fair / Canticle,3g2fYZW5v2od8KIF7VktT0,"classic rock,folk,folk rock,melancholia,mellow gold,rock",,0.336,0.248,2,-15.626,1,0.0324,0.648,0.0,0.113,0.297,128.548,190347,3
Blue Öyster Cult,Spectres,Godzilla,6N0AnkdDFZUetw8KAGHV7e,"album rock,art rock,blues rock,classic rock,hard rock,metal,rock,soft rock",,0.373,0.869,4,-7.719,1,0.0554,0.164,7.76e-06,0.605,0.696,184.024,221400,4
Diamond Eyes,Everything,Everything,2goIIAg5kdzfwclJMFZM33,gaming edm,,0.609,0.681,10,-4.084,1,0.0516,0.0509,0.0,0.0845,0.386,140.038,267429,4
Layto,Little Poor Me (Vosai Remix),Little Poor Me - Vosai Remix,7c9YkNvWQN6HEfxe1JLSFy,"bass trap,modern alternative rock,traprun",,0.531,0.682,5,-4.267,0,0.0658,0.0138,0.0,0.492,0.475,150.128,182475,4
Jim Yosef,Hate You,Hate You,1ZbzOXEYMJNT1zxqLHyCfA,gaming edm,,0.651,0.661,10,-5.088,0,0.0322,0.572,0.0,0.121,0.389,97.056,197945,4
Bread,Manna,If,40W8Mm9t3ZO1iNQlls35lL,"adult standards,country rock,folk,folk rock,mellow gold,soft rock",,0.388,0.176,9,-16.952,1,0.0299,0.912,0.000336,0.0977,0.342,97.628,155773,4
Jim Croce,You Don't Mess Around With Jim,Time In a Bottle,561F1zqRwGPCTMRsLsXVtL,"album rock,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock",,0.544,0.265,2,-11.952,1,0.035,0.848,0.0,0.196,0.7,133.837,146176,3
Roxette,Look Sharp!,Listen To Your Heart,1qIKynV6YQZgocodkPdCy7,"dance pop,europop,new wave pop,pop rock,soft rock,swedish pop",,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,328093,4
England Dan & John Ford Coley,Nights Are Forever,I'd Really Love to See You Tonight,2r008pcfVYc0zgQvSRqUJE,"adult standards,bubblegum pop,country rock,folk rock,mellow gold,soft rock",,0.62,0.556,5,-12.044,1,0.0336,0.184,0.0,0.301,0.592,119.172,159107,4
Goblins from Mars,Vol. 2 (Originals),Cold Blooded Love,0Lz32TO8dvwvgYoJ83GCOl,gaming edm,,0.623,0.85,8,-5.413,0,0.0334,0.00832,0.0237,0.289,0.707,134.978,181262,4
Green Day,Shenanigans,Don't Wanna Fall in Love,2VZjhNysOVeGCtH71Apbbd,"permanent wave,pop punk,punk",,0.414,0.98,8,-3.23,1,0.0885,0.00016,0.000409,0.0583,0.916,157.124,98467,4
NIVIRO,The Labyrinth,The Labyrinth,4hzznHPSFn5siOzfaqrpyE,gaming edm,,0.615,0.885,4,-5.17,0,0.0295,0.0132,0.107,0.0963,0.471,138.107,187826,4
Bread,Baby I'm-a Want You,Everything I Own,52VIdyKqp1pJRSyUQaxKUA,"adult standards,country rock,folk,folk rock,mellow gold,soft rock",,0.365,0.338,2,-13.406,1,0.0322,0.735,0.0,0.104,0.446,79.241,187000,4
Blue Öyster Cult,Club Ninja,Make Rock Not War,7DMzjEW9rLZzbDAlnYiZAZ,"album rock,art rock,blues rock,classic rock,hard rock,metal,rock,soft rock",,0.58,0.882,3,-8.162,0,0.0534,0.138,0.0,0.324,0.557,131.026,237893,4
Green Day,¡DOS!,Amy,7mjLvFRhiMfvEJiBOLDZkB,"permanent wave,pop punk,punk",,0.776,0.317,6,-8.221,1,0.0362,0.849,0.0,0.13,0.446,121.978,205107,4
The King's Singers,Folk Songs Of The British Isles,Loch Lomond,0OHTE11AbX3oeT623REE0L,"a cappella,british choir,cambridge choir,choral,polyphony,vocal ensemble",,0.266,0.0248,10,-24.497,1,0.0467,0.959,6.04e-05,0.0978,0.0617,132.519,183693,4
