artist,album,track_name,track_id,artist_genre,album_genre,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
XXXTENTACION,?,SAD!,3ee8Jmje8o58CHK66QrVC2,"emo rap,miami hip hop",,0.74,0.613,8,-4.88,1,0.145,0.00372,0.123,0.473,75.023,166606,4
Ed Sheeran,x (Wembley Edition),Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,"pop,uk pop",,0.781,0.445,2,-6.061,1,0.0295,0.0,0.184,0.591,78.998,281560,4
Wiz Khalifa,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap",,0.689,0.481,10,-7.503,1,0.0815,1.03e-06,0.0649,0.283,80.025,229526,4
Calvin Harris,Motion,Summer,6YUTL4dYpB9xZO5qExPf05,"dance pop,edm,electro house,house,pop,progressive house,tropical house,uk dance",,0.596,0.856,4,-3.556,0,0.0346,0.0178,0.141,0.743,127.949,222533,4
Drake,Scorpion,God's Plan,6DCZcSspjsKoFjzjrWoCdn,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",,0.754,0.449,7,-9.211,1,0.109,8.29e-05,0.552,0.357,77.169,198973,4
The Chainsmokers,The Chainsmokers- Japan Special Edition,Don't Let Me Down,0QsvXIfqM0zZoerQfsI9lm,"dance pop,edm,electropop,pop,tropical house",,0.542,0.859,11,-5.651,1,0.197,0.00466,0.137,0.403,159.797,208053,4
Macklemore & Ryan Lewis,The Heist [Deluxe Edition],Thrift Shop (feat. Wanz),3AYcyxEACnmE6d96RPubID,"dance pop,pop,pop rap,seattle hip hop",,0.781,0.526,6,-6.985,0,0.293,0.0,0.0457,0.662,94.992,235613,4
Post Malone,beerbongs & bentleys,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,"dfw rap,melodic rap,rap",,0.585,0.52,5,-6.136,0,0.0712,7.01e-05,0.131,0.129,159.801,218147,4
Bruno Mars,Doo-Wops & Hooligans,Grenade,4lLtanYk6tkMvooU0tWzG8,"dance pop,pop,post-teen pop",,0.706,0.558,2,-7.237,0,0.0593,0.0,0.118,0.227,110.443,223253,4
Mike Posner,"At Night, Alone.",I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P,"dance pop,pop,pop rap",,0.664,0.714,7,-6.645,0,0.111,8.42e-06,0.0843,0.71,101.969,197933,4
Luis Fonsi,VIDA,Despacito,6habFhsOp2NvshLv26DqMb,"latin,latin pop,puerto rican pop,tropical",,0.655,0.797,2,-4.787,1,0.153,0.0,0.067,0.839,177.928,229360,4
Kendrick Lamar,DAMN.,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,"conscious hip hop,hip hop,rap,west coast rap",,0.908,0.621,1,-6.638,0,0.102,5.39e-05,0.0958,0.421,150.011,177000,4
Lil Nas X,7 EP,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,"country rap,lgbtq+ hip hop,pop rap",,0.878,0.619,6,-5.56,1,0.102,0.0,0.113,0.639,136.041,157067,4
Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),2Cd9iWfcOpGDHLz6tVA3G4,"colombian pop,dance pop,latin,latin pop,pop",,0.766,0.873,11,-6.381,0,0.143,0.0,0.0764,0.743,126.988,202627,4
Don Omar,Meet The Orphans,Danza Kuduro,2a1o6ZejUi8U3wzzOtCOYw,"latin,latin hip hop,puerto rican pop,reggaeton,tropical",,0.4,0.915,0,-4.89,1,0.28,0.0,0.0503,0.878,88.917,198773,3
Katy Perry,PRISM (Deluxe),Dark Horse,5jrdCoLpJSvHHorevXBATy,"dance pop,pop,post-teen pop",,0.645,0.585,6,-6.122,1,0.0513,0.0,0.165,0.353,131.931,215672,4
Sia,This Is Acting,Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j,"australian dance,australian pop,dance pop,pop",,0.628,0.698,6,-5.608,0,0.105,0.00143,0.0907,0.732,89.976,211667,4
Mark Ronson,Uptown Special,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,"dance pop,pop",,0.856,0.609,0,-7.223,1,0.0824,8.15e-05,0.0344,0.928,114.988,269667,4
Luis Fonsi,VIDA,Despacito - Remix,1vnnXMrBeEWiRg3YCMCjQq,"latin,latin pop,puerto rican pop,tropical",,0.649,0.798,2,-4.346,1,0.178,0.0,0.0711,0.857,177.899,230413,4
Rihanna,Loud,Only Girl (In The World),0AH6WMe3OlAlUb5miXt2FQ,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary",,0.789,0.716,11,-4.241,0,0.0432,1.07e-05,0.069,0.611,125.906,235493,4
Post Malone,beerbongs & bentleys,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,"dfw rap,melodic rap,rap",,0.75,0.56,8,-8.094,1,0.105,0.0,0.111,0.459,140.06,221440,4
Pharrell Williams,G I R L,"Happy - From ""Despicable Me 2""",5b88tNINg4Q4nrRbrCXUmg,"pop,pop rap",,0.647,0.822,5,-4.662,0,0.183,0.0,0.0908,0.962,160.019,232720,4
Jennifer Lopez,On The Floor,On The Floor - Radio Edit,0Oe49j06Bjrxs8PltuVeaW,"dance pop,pop,pop rap,post-teen pop,urban contemporary",,0.758,0.686,11,-6.346,1,0.0792,0.00127,0.142,0.444,130.007,230907,4
Nicki Minaj,Pink Friday ... Roman Reloaded,Starships,1oHNvJVbFkexQc0BpQp7Y4,"dance pop,hip pop,pop,pop rap,post-teen pop,queens hip hop",,0.747,0.716,11,-2.457,0,0.075,0.0,0.251,0.751,125.008,210627,4
Flo Rida,Wild Ones,Whistle,3bC1ahPIYt1btJzSSEyyrF,"dance pop,miami hip hop,pop,pop rap",,0.747,0.937,0,-5.746,1,0.0453,0.0,0.29,0.739,103.976,224653,4
LMFAO,Sorry For Party Rocking,Party Rock Anthem,4650WGL6InVqP7YN5POqIz,"dance pop,edm,pop,pop rap",,0.751,0.736,5,-4.168,0,0.156,0.0,0.265,0.352,130.014,262147,4
Drake,Scorpion,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",,0.835,0.626,1,-5.833,1,0.125,6e-05,0.396,0.35,91.03,217925,4
The Chainsmokers,Memories...Do Not Open,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,"dance pop,edm,electropop,pop,tropical house",,0.617,0.635,11,-6.769,0,0.0317,1.44e-05,0.164,0.446,103.019,247160,4
John Legend,Love In The Future (Expanded Edition),All of Me,3U4isOIWM3VvDubwSI3y7a,"neo soul,pop,r&b,urban contemporary",,0.422,0.264,8,-7.064,1,0.0322,0.0,0.132,0.331,119.93,269560,4
Passenger,All The Little Lights,Let Her Go,2jyjhRf6DVbMPU5zxagN2h,"folk-pop,neo mellow,pop,pop rock",,0.509,0.538,7,-7.335,1,0.0572,0.0,0.104,0.244,75.089,252867,4
Eminem,Recovery,Not Afraid,7Ie9W94M7OjPoZVV216Xus,"detroit hip hop,hip hop,rap",,0.855,0.954,0,-1.19,0,0.264,0.0,0.205,0.668,114.635,248133,5
